unit_code;cocunut;tiger_asset_class_id;min_exposure;min_co_exposure_threshold;min_turnover;min_turnover_threshold
AKCENT;1523165;6;9439;1500000;6670000;5000000
AVAL;205738;6;176573;915000;3540000;2441000
AVAL;1426731;6;11553;915000;5620000;2441000
AVAL;739053;6;288492;915000;2640000;2441000
AVAL;1987554;6;160607;915000;2460000;2441000
AVAL;216922;6;402813;915000;2470000;2441000
AVAL;591991;6;12964;915000;2520000;2441000
AVAL;794052;6;2554;915000;5120000;2441000
AVAL;752878;6;5;915000;3140000;2441000
AVAL;1555833;6;1139;915000;3110000;2441000
AVAL;1205440;6;23187;915000;2980000;2441000
AVAL;1023888;6;292285;915000;4140000;2441000
AVAL;668534;6;2567;915000;2590000;2441000
AVAL;217420;6;64183;915000;4620000;2441000
AVAL;1226556;6;49;915000;4540000;2441000
AVAL;2028683;6;9315;915000;3090000;2441000
AVAL;221397;6;262624;915000;2610000;2441000
AVAL;463439;6;1736983;915000;3800000;2441000
AVAL;2030054;6;793107;915000;4860000;2441000
AVAL;1628306;6;102043;915000;4470000;2441000
AVAL;1627905;6;3;915000;2940000;2441000
AVAL;1530499;6;0;915000;2620000;2441000
AVAL;1331817;6;14;915000;5520000;2441000
AVAL;2016844;6;383013;915000;4510000;2441000
AVAL;1983006;6;38756;915000;3090000;2441000
AVAL;691323;6;381;915000;3270000;2441000
AVAL;217014;6;79158;915000;3190000;2441000
AVAL;2024299;6;11005;915000;2740000;2441000
AVAL;178360;6;166688;915000;4670000;2441000
AVAL;313407;6;98020;915000;4160000;2441000
AVAL;1391307;6;11;915000;3410000;2441000
AVAL;459902;6;227892;915000;3800000;2441000
AVAL;1875517;6;4;915000;3730000;2441000
AVAL;499668;6;374044;915000;2720000;2441000
AVAL;1034873;6;24;915000;3330000;2441000
AVAL;1813804;6;4;915000;3520000;2441000
AVAL;1024546;6;74931;915000;4300000;2441000
AVAL;761366;6;46938;915000;3260000;2441000
AVAL;318543;6;79386;915000;3120000;2441000
AVAL;1329723;6;31534;915000;3940000;2441000
AVAL;752262;6;403595;915000;4790000;2441000
AVAL;221465;6;143519;915000;2590000;2441000
AVAL;529065;6;205274;915000;2620000;2441000
AVAL;523368;6;25186;915000;3990000;2441000
AVAL;912088;6;16869;915000;3370000;2441000
AVAL;222540;6;112465;915000;4070000;2441000
AVAL;1813811;6;4;915000;3520000;2441000
AVAL;536394;6;405497;915000;2860000;2441000
AVAL;880577;6;9;915000;3540000;2441000
AVAL;734095;6;9;915000;2870000;2441000
AVAL;808693;6;519886;915000;3470000;2441000
AVAL;218370;6;131682;915000;3640000;2441000
AVAL;218996;6;211660;915000;2640000;2441000
AVAL;282703;6;217439;915000;3100000;2441000
AVAL;2294781;6;38767;915000;2980000;2441000
AVAL;1629395;6;641019;915000;3530000;2441000
AVAL;1997755;6;6199;915000;5460000;2441000
AVAL;1504844;6;7440;915000;8760000;2441000
AVAL;219125;6;625198;915000;2690000;2441000
AVAL;1052319;6;437444;915000;4850000;2441000
AVAL;809144;6;89856;915000;4630000;2441000
AVAL;1514433;6;79178;915000;2770000;2441000
AVAL;854042;6;190640;915000;2520000;2441000
AVAL;924191;6;300765;915000;4270000;2441000
AVAL;217440;6;755096;915000;3670000;2441000
AVAL;500612;6;284228;915000;2880000;2441000
AVAL;449271;6;102693;915000;3580000;2441000
AVAL;698950;6;227056;915000;4390000;2441000
AVAL;217801;6;241646;915000;3060000;2441000
AVAL;1254351;6;11783;915000;3260000;2441000
AVAL;763259;6;607852;915000;3820000;2441000
AVAL;668283;6;176746;915000;2590000;2441000
AVAL;782107;6;240143;915000;3210000;2441000
AVAL;292084;6;1403794;915000;3310000;2441000
AVAL;768910;6;14;915000;13890000;2441000
AVAL;483831;6;4;915000;2610000;2441000
AVAL;913403;6;164610;915000;2540000;2441000
AVAL;1571070;6;78989;915000;3100000;2441000
AVAL;1495497;6;144;915000;2720000;2441000
AVAL;1990482;6;135252;915000;3220000;2441000
AVAL;271958;6;256733;915000;4160000;2441000
AVAL;1408214;6;64622;915000;3220000;2441000
AVAL;1024137;6;137505;915000;2620000;2441000
AVAL;1538170;6;15404;915000;2540000;2441000
AVAL;176590;6;10;915000;6810000;2441000
AVAL;289236;6;417225;915000;2610000;2441000
AVAL;1491315;6;218243;915000;3060000;2441000
AVAL;433238;6;30812;915000;3880000;2441000
AVAL;194794;6;827648;915000;3480000;2441000
AVAL;1530496;6;1;915000;2620000;2441000
AVAL;674222;6;6597;915000;7580000;2441000
