unit;default_id;cross_default_cocunut;entity_type;entity_type_desc;default_status_detail;cross_default_start_date;tdc;tdc2;dqi_check
RLCZ;133634;852366;3;Corporates;P;21.07.2021;852366;852366;OK
RLCZ;123776;798141;6;Small Medium Business (SMB);P;23.03.2020;798141;798141;OK
TLSK;89441;39133;3;Corporates;P;01.06.2016;39133;39133;OK
TLSK;136333;1449602;6;Small Medium Business (SMB);P;26.11.2021;1449602;1449602;OK
RBHR;131991;534770;3;Corporates;P;30.04.2021;534770;534770;OK
AVAL;139080;1848907;3;Corporates;P;16.05.2022;1848907;1848907;OK
RLBY1;128912;875198;6;Small Medium Business (SMB);P;25.11.2020;875198;875198;OK
TBSK;136252;1359522;6;Small Medium Business (SMB);P;25.11.2021;1359522;1359522;OK
TLSK;118591;181865;6;Small Medium Business (SMB);P;23.07.2019;181865;181865;OK
RLBG;133371;151872;6;Small Medium Business (SMB);C;09.07.2021;151872;151872;OK
RLCZ;127613;152705;3;Corporates;P;24.09.2020;152705;152705;OK
RLRO;98226;600834;3;Corporates;P;30.03.2017;600834;600834;OK
TLSK;138791;1064715;6;Small Medium Business (SMB);C;28.04.2022;1064715;1064715;OK
TBSK;121013;1636934;6;Small Medium Business (SMB);P;02.12.2019;1636934;1636934;OK
RBI;139752;631167;3;Corporates;P;28.06.2022;631167;631167;OK
ILSK;134677;1224886;6;Small Medium Business (SMB);C;24.09.2021;1224886;1224886;OK
RLHR;112047;108906;3;Corporates;P;23.08.2018;108906;108906;OK
RLRO;130012;465309;3;Corporates;P;30.12.2020;465309;465309;OK
RLBH;142098;755440;6;Small Medium Business (SMB);P;30.11.2022;755440;755440;OK
TBSK;122393;783104;6;Small Medium Business (SMB);P;30.01.2020;783104;783104;OK
TBSK;113370;779709;6;Small Medium Business (SMB);P;25.10.2018;779709;779709;OK
RLBY1;125871;886124;6;Small Medium Business (SMB);P;02.07.2020;886124;886124;OK
RBILEG;138214;1511188;3;Corporates;P;28.03.2022;1511188;1511188;OK
RLHR;141156;516266;6;Small Medium Business (SMB);P;23.09.2022;516266;516266;OK
RLBH;119030;1541082;6;Small Medium Business (SMB);C;19.08.2019;1541082;1541082;OK
TLSK;93401;100835;6;Small Medium Business (SMB);C;12.10.2016;100835;100835;OK
RLBY1;127910;492333;3;Corporates;P;07.10.2020;492333;492333;OK
TLSK;138795;1321721;3;Corporates;P;28.04.2022;1321721;1321721;OK
RLHR;129190;130084;6;Small Medium Business (SMB);C;01.12.2020;130084;130084;OK
RLGMBH;122351;25977;3;Corporates;C;29.01.2020;25977;25977;OK
RBRO;119090;680789;6;Small Medium Business (SMB);P;21.08.2019;680789;680789;OK
RLRU;136293;1334352;3;Corporates;P;26.11.2021;1334352;1334352;OK
RBAL;128971;196157;3;Corporates;P;26.11.2020;196157;196157;OK
RLHR;126197;449499;3;Corporates;C;24.07.2020;449499;449499;OK
RLBY1;89361;505425;3;Corporates;C;31.05.2016;505425;505425;OK
RLGMBH;107385;119582;3;Corporates;C;27.12.2017;119582;119582;OK
RLHR;101646;140081;3;Corporates;P;28.06.2017;140081;140081;OK
RLCZ;119950;935889;3;Corporates;C;27.09.2019;935889;935889;OK
ILSK;134675;90796;3;Corporates;C;24.09.2021;90796;90796;OK
RPL;132632;1225257;6;Small Medium Business (SMB);C;16.06.2021;1225257;1225257;OK
RBHR;94483;108485;3;Corporates;P;10.11.2016;108485;108485;OK
RLHR;102106;82258;3;Corporates;C;10.07.2017;;;ERROR
TLSK;138789;806980;6;Small Medium Business (SMB);P;28.04.2022;;;ERROR
RLPL;86983;698024;;;C;15.03.2016;;;ERROR
RBRO;132030;757599;6;Small Medium Business (SMB);C;04.05.2021;757599;757599;OK
RLKO;89822;124641;3;Corporates;C;16.06.2016;124641;124641;OK
RLAL;121650;920427;6;Small Medium Business (SMB);P;20.12.2019;920427;920427;OK
RLBY1;135130;1235933;6;Small Medium Business (SMB);P;04.10.2021;1235933;1235933;OK
RLAL;127770;231683;3;Corporates;P;30.09.2020;231683;231683;OK
RLHR;85363;107459;6;Small Medium Business (SMB);C;26.01.2016;107459;107459;OK
RLRO;114270;510526;3;Corporates;P;28.11.2018;510526;510526;OK
RLBG;117910;1046398;6;Small Medium Business (SMB);P;12.06.2019;1046398;1046398;OK
RLRU;115711;1349190;3;Corporates;C;15.02.2019;1349190;1349190;OK
RLBY1;135393;780246;3;Corporates;P;14.10.2021;780246;780246;OK
TLSK;97085;733159;6;Small Medium Business (SMB);P;15.02.2017;733159;733159;OK
TLSK;134971;1318965;6;Small Medium Business (SMB);P;29.09.2021;1318965;1318965;OK
RLBG;94522;231354;6;Small Medium Business (SMB);P;14.11.2016;231354;231354;OK
RLBH;126650;167440;3;Corporates;P;11.08.2020;167440;167440;OK
TLSK;138612;786599;3;Corporates;P;20.04.2022;786599;786599;OK
ILSK;134680;805532;3;Corporates;C;24.09.2021;805532;805532;OK
TLSK;138788;805532;3;Corporates;P;28.04.2022;805532;805532;OK
RLBH;116950;949287;6;Small Medium Business (SMB);C;19.04.2019;949287;949287;OK
RLBY1;124052;1404620;6;Small Medium Business (SMB);C;31.03.2020;1404620;1404620;OK
RLHR;124391;108248;3;Corporates;P;27.04.2020;108248;108248;OK
RLRO;128592;156570;6;Small Medium Business (SMB);P;16.11.2020;156570;156570;OK
RLRS;139732;235990;3;Corporates;P;27.06.2022;235990;235990;OK
RBCZ;133897;1464035;6;Small Medium Business (SMB);P;10.08.2021;1464035;1464035;OK
RLRO;123411;1439300;6;Small Medium Business (SMB);P;06.03.2020;1439300;1439300;OK
TBSK;138232;1927438;6;Small Medium Business (SMB);P;29.03.2022;1927438;1927438;OK
RLBH;124531;1477862;6;Small Medium Business (SMB);C;08.05.2020;1477862;1477862;OK
ILSK;137671;1627966;6;Small Medium Business (SMB);C;17.02.2022;1627966;1627966;OK
RLRO;127912;868646;6;Small Medium Business (SMB);C;07.10.2020;868646;868646;OK
RBI;141195;392957;3;Corporates;P;27.09.2022;392957;392957;OK
RLHR;98367;108736;3;Corporates;C;31.03.2017;108736;108736;OK
RBBY;121530;574821;6;Small Medium Business (SMB);C;17.12.2019;574821;574821;OK
RLCZ;128977;1437486;3;Corporates;P;26.11.2020;1437486;1437486;OK
TBSK;130671;1633034;3;Corporates;P;17.02.2021;1633034;1633034;OK
RLHR;118611;523245;3;Corporates;P;24.07.2019;523245;523245;OK
RLBY1;139755;579784;6;Small Medium Business (SMB);P;28.06.2022;579784;579784;OK
RBCZ;111846;92677;3;Corporates;C;10.08.2018;92677;92677;OK
RBCZ;125590;716505;6;Small Medium Business (SMB);C;18.06.2020;716505;716505;OK
RBRO;129578;1328588;6;Small Medium Business (SMB);P;14.12.2020;1328588;1328588;OK
RLHR;131631;1355886;6;Small Medium Business (SMB);P;09.04.2021;1355886;1355886;OK
RBSG;90881;724263;3;Corporates;C;20.07.2016;724263;724263;OK
TBSK;131792;1432833;6;Small Medium Business (SMB);P;19.04.2021;1432833;1432833;OK
RLBY1;91641;179244;3;Corporates;C;22.08.2016;179244;179244;OK
TLSK;91101;214604;3;Corporates;C;26.07.2016;214604;214604;OK
RLBY1;94162;1205175;3;Corporates;C;31.10.2016;1205175;1205175;OK
RLBH;135791;166071;6;Small Medium Business (SMB);C;01.11.2021;166071;166071;OK
RBBH;132490;757430;6;Small Medium Business (SMB);C;03.06.2021;757430;757430;OK
RLHR;137396;790135;3;Corporates;C;27.01.2022;790135;790135;OK
ILSK;134687;1475904;6;Small Medium Business (SMB);C;24.09.2021;1475904;1475904;OK
RBI;141193;389595;3;Corporates;P;27.09.2022;389595;389595;OK
TBSK;101346;192323;6;Small Medium Business (SMB);C;21.06.2017;192323;192323;OK
RLRS;128810;130353;3;Corporates;P;23.11.2020;130353;130353;OK
RLHR;114793;594600;3;Corporates;C;20.12.2018;594600;594600;OK
RLBY1;110406;503892;6;Small Medium Business (SMB);C;14.05.2018;503892;503892;OK
RLBY1;85381;493127;6;Small Medium Business (SMB);C;27.01.2016;493127;493127;OK
RLPL;88343;81097;;;C;28.04.2016;;;ERROR
RLPL;88342;804239;;;C;28.04.2016;;;ERROR
RLPL;88341;804240;;;C;28.04.2016;;;ERROR
RLHR;126196;1229238;3;Corporates;C;24.07.2020;1229238;1229238;OK
RLRO;104745;796794;6;Small Medium Business (SMB);C;17.10.2017;796794;796794;OK
TLSK;136331;99506;6;Small Medium Business (SMB);P;26.11.2021;99506;99506;OK
RLKO;140673;1831041;6;Small Medium Business (SMB);P;23.08.2022;1831041;1831041;OK
RLHR;114172;188625;3;Corporates;C;23.11.2018;188625;188625;OK
RLHR;102545;107637;6;Small Medium Business (SMB);C;21.07.2017;107637;107637;OK
RBAL;128915;792858;3;Corporates;C;25.11.2020;792858;792858;OK
RLRS;118073;173347;6;Small Medium Business (SMB);P;21.06.2019;173347;173347;OK
RLCZ;125706;668931;3;Corporates;C;25.06.2020;668931;668931;OK
RLRS;142253;946044;3;Corporates;P;12.12.2022;946044;946044;OK
TLSK;139133;1791743;3;Corporates;P;18.05.2022;1791743;1791743;OK
