unit;trigger_default_id;trigger_default_cocunut;trigger_default_entity_type;trigger_default_entity_type_desc;trigger_default_class_1;trigger_default_rank;cross_default_id;cross_default_cocunut;cross_default_entity_type;cross_default_entity_type_desc;cross_default_class_1;cross_booking_company;cross_default_rank;number_days;trigger_default_start_conf_on;cross_default_start_conf_on;dqi_check
AVAL;141173;221608;3;Corporates;D11;1;141194;221608;3;Corporates;D12;RBI;2;1;26.09.2022;27.09.2022;OK
AVAL;94841;956387;6;Small Medium Business (SMB);D11;1;94844;956387;6;Small Medium Business (SMB);D12;RLUA;2;0;22.11.2016;22.11.2016;OK
AVAL;141176;392957;3;Corporates;D11;1;141195;392957;3;Corporates;D12;RBI;2;1;26.09.2022;27.09.2022;OK
AVAL;141175;389595;3;Corporates;D11;1;141193;389595;3;Corporates;D12;RBI;2;1;26.09.2022;27.09.2022;OK
CASRS;142496;2152441;3;Corporates;D8;1;142499;2152441;3;Corporates;D12;RLRS;2;0;27.12.2022;27.12.2022;OK
CASRS;140302;513577;3;Corporates;D8;3;129017;513577;3;Corporates;D12;RBRS;2;490;01.04.2022;27.11.2020;OK
CASRS;142496;2152441;3;Corporates;D8;1;142516;2152441;3;Corporates;D12;RBRS;3;1;27.12.2022;28.12.2022;OK
ILSK;137371;1051657;3;Corporates;D8;1;137397;1051657;3;Corporates;D12;TLSK;2;1;26.01.2022;27.01.2022;OK
ILSK;136316;99506;6;Small Medium Business (SMB);D8;1;136331;99506;6;Small Medium Business (SMB);D12;TLSK;2;0;26.11.2021;26.11.2021;OK
ILSK;134670;1318965;6;Small Medium Business (SMB);D8;1;134730;1318965;6;Small Medium Business (SMB);D12;TBSK;2;4;24.09.2021;28.09.2021;OK
ILSK;134670;1318965;6;Small Medium Business (SMB);D8;1;134971;1318965;6;Small Medium Business (SMB);D12;TLSK;3;5;24.09.2021;29.09.2021;OK
ILSK;136251;1359522;6;Small Medium Business (SMB);D8;1;136252;1359522;6;Small Medium Business (SMB);D12;TBSK;2;1;25.11.2021;26.11.2021;OK
ILSK;134671;1360044;6;Small Medium Business (SMB);D8;1;134830;1360044;6;Small Medium Business (SMB);D12;TLSK;2;4;24.09.2021;28.09.2021;OK
ILSK;136313;1449602;6;Small Medium Business (SMB);D8;1;136333;1449602;6;Small Medium Business (SMB);D12;TLSK;2;0;26.11.2021;26.11.2021;OK
ILSK;134932;1601150;6;Small Medium Business (SMB);D4;1;137032;1601150;6;Small Medium Business (SMB);D12;TBSK;2;98;29.09.2021;05.01.2022;ERROR
ILSK;136975;1611542;6;Small Medium Business (SMB);D8;1;137011;1611542;6;Small Medium Business (SMB);D12;TBSK;2;5;30.12.2021;04.01.2022;ERROR
ILSK;136314;1905910;6;Small Medium Business (SMB);D8;1;136352;1905910;6;Small Medium Business (SMB);D12;TBSK;2;4;26.11.2021;30.11.2021;OK
