unit;counterparty_code;counterparty_name;ctype_code;ctype_name;def_id;default_start_date;default_end_date;long_term_rating;currentstartdate;defaultenddate;dqi_check
ALEASS;702722;FALC 3 S.R.L.;6;Small Medium Business (SMB);94083;28.10.2016;09.03.2018;SME_MIS;28.10.2016;09.03.2018;OK
ALEASS;702071;LAVALLE LUIGI;6;Small Medium Business (SMB);97685;10.03.2017;03.05.2022;SME_9C;10.03.2017;03.05.2022;OK
ALEASS;702044;GLI ORI DI VENEZIA S.R.L.;6;Small Medium Business (SMB);97525;28.02.2017;12.02.2019;SME_9B;28.02.2017;12.02.2019;OK
ALEASS;702533;SEASENSE S.R.L.;3;Corporates;88285;28.04.2016;06.12.2016;CORP_MIS;28.04.2016;06.12.2016;OK
ALEASS;701983;ORTOFRUTTA DA CLAUDIO S.A.S.;6;Small Medium Business (SMB);95104;30.11.2016;27.09.2018;SME_MIS;30.11.2016;27.09.2018;OK
ALEASS;702151;PANIZZO DORIANO S.N.C. DI;3;Corporates;104385;29.09.2017;31.08.2021;CORP_MIS;29.09.2017;31.08.2021;OK
ALEASS;742319;WANNY S.R.L.;6;Small Medium Business (SMB);92061;31.08.2016;17.11.2022;SME_9C;31.08.2016;17.11.2022;OK
ALEASS;1214789;RFDC DIFFUSION S.R.L.;3;Corporates;94081;28.10.2016;27.04.2018;CORP_MIS;28.10.2016;27.04.2018;OK
ALEASS;862783;MECTRA S.R.l.;6;Small Medium Business (SMB);110725;31.05.2018;27.01.2022;SME_9C;31.05.2018;27.01.2022;OK
ALEASS;702061;MARLIA S.N.C.DI MARLIA CLAUDIO;6;Small Medium Business (SMB);90242;29.06.2016;03.08.2018;SME_MIS;29.06.2016;03.08.2018;OK
ALEASS;702088;SGM STAMPI S.R.L.;6;Small Medium Business (SMB);124351;24.04.2020;26.03.2021;SME_MIS;24.04.2020;26.03.2021;OK
ALEASS;702252;SAN FRANCESCO S.R.L.;3;Corporates;128991;27.11.2020;16.11.2022;CORP_9C;27.11.2020;16.11.2022;OK
ALEASS;702266;F.LLI PIZZEGHELLO S.N.C. DI;6;Small Medium Business (SMB);118250;28.06.2019;31.01.2022;SME_9C;28.06.2019;31.01.2022;OK
ALEASS;702112;ESA BOUTIQUE S.R.L.;6;Small Medium Business (SMB);96103;29.12.2016;31.05.2018;SME_8A;29.12.2016;31.05.2018;OK
ALEASS;701898;DATA SISTEM S.A.S. DI SACCON;6;Small Medium Business (SMB);87301;30.03.2016;05.08.2016;SME_MIS;30.03.2016;05.08.2016;OK
ALEASS;702380;LA.CE. IMMOBILIARE S.R.L.;6;Small Medium Business (SMB);91361;05.08.2016;27.10.2017;SME_MIS;05.08.2016;27.10.2017;OK
ALEASS;702117;TRE ELLE S.R.L.;6;Small Medium Business (SMB);91362;05.08.2016;11.11.2019;SME_7B;05.08.2016;11.11.2019;OK
ALEASS;1214799;LA GAMMA COMMERCIALE S.R.L.;6;Small Medium Business (SMB);94082;28.10.2016;26.01.2022;SME_8A;28.10.2016;26.01.2022;OK
ALEASS;702582;ROSSETTI INVEST S.R.L.;3;Corporates;102846;31.07.2017;30.07.2018;CORP_MIS;31.07.2017;30.07.2018;OK
ALEASS;701987;C.P. S.R.L. CONTROL OF;6;Small Medium Business (SMB);86462;26.02.2016;28.04.2016;SME_MIS;26.02.2016;28.04.2016;OK
ALEASS;1314721;RINASCITA S.R.L.;6;Small Medium Business (SMB);107646;02.01.2018;09.03.2018;SME_MIS;02.01.2018;09.03.2018;OK
AVAL;433033;TOV 'DEMZ-INZhYNIRINH';3;Corporates;96226;10.01.2017;28.09.2020;CORP_MIS;10.01.2017;28.09.2020;OK
AVAL;912426;"TOV ""Energotekh""";6;Small Medium Business (SMB);125151;29.05.2020;01.10.2021;SME_9C;29.05.2020;01.10.2021;OK
AVAL;210340;PP BRIL V.V.;6;Small Medium Business (SMB);61272;06.11.2017;18.10.2021;SME_9C;06.11.2017;18.10.2021;OK
AVAL;925435;"DP ""Beta-servis""";3;Corporates;88681;11.05.2016;20.09.2017;CORP_MIS;11.05.2016;20.09.2017;OK
AVAL;172949;Kyivskyi marharynovyi zavod;3;Corporates;65315;30.09.2016;20.03.2019;CORP_MIS;30.09.2016;20.03.2019;OK
AVAL;216424;ZORYN VLADYMYR ANATOL'EVYCH;6;Small Medium Business (SMB);92121;01.09.2016;24.05.2017;SME_MIS;01.09.2016;24.05.2017;OK
AVAL;949713;"PP ""Fabryka Mebliv ""Nova""";3;Corporates;95101;30.11.2016;17.01.2017;CORP_MIS;30.11.2016;17.01.2017;OK
AVAL;216036;TzOV ?Trans-Imperiia?;6;Small Medium Business (SMB);96124;30.12.2016;17.01.2018;SME_MIS;30.12.2016;17.01.2018;OK
AVAL;744566;"TOV ""UKRAHROSVIT""";6;Small Medium Business (SMB);124091;06.04.2020;27.10.2021;SME_9C;06.04.2020;27.10.2021;OK
AVAL;31995;DIAMANT BANK JOINT STOCK BANK;11;Banks;101587;27.06.2017;14.08.2018;FIN_MIS;27.06.2017;14.08.2018;OK
AVAL;199141;"STzOV ""Ahrofirma ""Orzhytska""";6;Small Medium Business (SMB);105465;13.11.2017;19.10.2020;SME_6B;13.11.2017;19.10.2020;OK
AVAL;502354;PP 'VIROBN. OB'IEDNANNIA HABIONI ZA;6;Small Medium Business (SMB);120390;25.10.2019;25.08.2020;SME_MIS;25.10.2019;25.08.2020;OK
AVAL;590160;FOP KAS'IANENKO O.V.;6;Small Medium Business (SMB);90861;19.07.2016;18.10.2021;SME_9C;19.07.2016;18.10.2021;OK
AVAL;314848;SPD RUBOJCHYK M.M.;6;Small Medium Business (SMB);86241;19.02.2016;26.12.2017;SME_MIS;19.02.2016;26.12.2017;OK
AVAL;1023624;PP `Smolianka-Ahro`;6;Small Medium Business (SMB);116535;29.03.2019;13.01.2022;SME_9C;29.03.2019;13.01.2022;OK
AVAL;176907;"PP Firma ""Yuliia""";6;Small Medium Business (SMB);90785;18.07.2016;30.08.2016;SME_MIS;18.07.2016;30.08.2016;OK
AVAL;447544;SPD BULKOT V.S.;6;Small Medium Business (SMB);89241;30.05.2016;11.11.2016;SME_MIS;30.05.2016;11.11.2016;OK
AVAL;221523;CHP AHRO-ALIANS;6;Small Medium Business (SMB);109425;21.03.2018;20.01.2021;SME_MIS;21.03.2018;20.01.2021;OK
AVAL;628257;"TOV ""Kompaniya Rona""";3;Corporates;88801;16.05.2016;16.05.2016;CORP_MIS;16.05.2016;16.05.2016;OK
AVAL;793307;"KORPORATSIA ""ELTEKS""";6;Small Medium Business (SMB);115051;08.01.2019;26.06.2020;SME_MIS;08.01.2019;26.06.2020;OK
AVAL;192717;HAMSTER CLUB INTERNATIONAL;3;Corporates;96225;10.01.2017;28.09.2020;CORP_MIS;10.01.2017;28.09.2020;OK
AVAL;314312;AMVROSOV G.L.;6;Small Medium Business (SMB);96565;27.01.2017;07.02.2020;SME_MIS;27.01.2017;07.02.2020;OK
AVAL;271072;SPD VORONIN O.S.;6;Small Medium Business (SMB);92763;27.09.2016;09.01.2018;SME_MIS;27.09.2016;09.01.2018;OK
AVAL;992965;"FH ""Chaika""";6;Small Medium Business (SMB);123491;11.03.2020;10.11.2021;SME_9C;11.03.2020;10.11.2021;OK
AVAL;732179;"TOV ""TD Skhid-Kapital""";6;Small Medium Business (SMB);125170;29.05.2020;18.10.2021;SME_9C;29.05.2020;18.10.2021;OK
AVAL;911694;"TOV ""ETALONBUDSERVIS""";6;Small Medium Business (SMB);122510;12.02.2020;23.12.2020;SME_MIS;12.02.2020;23.12.2020;OK
AVAL;1603475;"PP ""Kurin-3""";6;Small Medium Business (SMB);127210;04.09.2020;01.02.2022;SME_9C;04.09.2020;01.02.2022;OK
AVAL;345905;PILIPENKO M.L.;6;Small Medium Business (SMB);110025;16.04.2018;01.10.2019;SME_MIS;16.04.2018;01.10.2019;OK
AVAL;222249;TOV Sedna Ahro;3;Corporates;119510;12.09.2019;28.09.2020;CORP_MIS;12.09.2019;28.09.2020;OK
CASRS;308461;M B J KOMERC DOO INDIJA;6;Small Medium Business (SMB);140285;01.04.2022;06.12.2022;SME_9C;01.04.2022;06.12.2022;OK
KATHREIN;432782;Rokon Holding GmbH;3;Corporates;139995;13.07.2022;21.10.2022;CORP_9C;13.07.2022;21.10.2022;OK
RBAL;915380;TRE YJE SHPK;6;Small Medium Business (SMB);96150;29.12.2016;07.12.2017;SME_MIS;29.12.2016;07.12.2017;OK
RBAL;1424736;FATNIS 2016 SHPK;6;Small Medium Business (SMB);114131;22.11.2018;19.09.2022;SME_9C;22.11.2018;19.09.2022;OK
RBAL;913140;INFO GOODS SHPK;6;Small Medium Business (SMB);106329;30.11.2017;11.12.2018;SME_MIS;30.11.2017;11.12.2018;OK
RBAL;1516366;FROJD & NOEL SHPK;3;Corporates;121510;17.12.2019;19.10.2022;CORP_9C;17.12.2019;19.10.2022;OK
RBAL;232652;ERG SHPK;6;Small Medium Business (SMB);98806;11.04.2017;20.04.2018;SME_MIS;11.04.2017;20.04.2018;OK
RBAL;604353;UDHA SHPK;6;Small Medium Business (SMB);124973;26.05.2020;23.12.2022;SME_9C;26.05.2020;23.12.2022;OK
RBAL;150793;CARA SHPK;6;Small Medium Business (SMB);106685;13.12.2017;10.01.2019;SME_MIS;13.12.2017;10.01.2019;OK
RBAL;521112;EMILJANO-07 SHPK;6;Small Medium Business (SMB);95523;19.12.2016;24.12.2018;SME_MIS;19.12.2016;24.12.2018;OK
RBAL;189160;AKS SHPK;6;Small Medium Business (SMB);90763;14.07.2016;03.04.2019;SME_MIS;14.07.2016;03.04.2019;OK
RBAL;717410;BRECYCLE SHPK;6;Small Medium Business (SMB);91041;25.07.2016;03.04.2019;SME_MIS;25.07.2016;03.04.2019;OK
RBAL;534682;D&D COLOR-AL SHPK;6;Small Medium Business (SMB);117190;06.05.2019;19.05.2021;SME_MIS;06.05.2019;19.05.2021;OK
RBAL;847330;XHAKA 5 SHPK;6;Small Medium Business (SMB);107550;28.12.2017;19.09.2022;SME_9C;28.12.2017;19.09.2022;OK
RBAL;603955;MIKETA-2000 SHPK;6;Small Medium Business (SMB);104145;25.09.2017;17.10.2019;SME_MIS;25.09.2017;17.10.2019;OK
RBAL;329850;KOMBEAS SHA;6;Small Medium Business (SMB);101145;12.06.2017;17.05.2018;SME_MIS;12.06.2017;17.05.2018;OK
RBAL;471118;SINANI & LICI SHPK;6;Small Medium Business (SMB);87221;23.03.2016;22.01.2018;SME_MIS;23.03.2016;22.01.2018;OK
RBAL;882523;ETLIRA DEDEJ PF;6;Small Medium Business (SMB);95526;19.12.2016;24.12.2018;SME_MIS;19.12.2016;24.12.2018;OK
RBAL;147865;NESIM SHPK;6;Small Medium Business (SMB);97965;20.03.2017;04.11.2020;SME_MIS;20.03.2017;04.11.2020;OK
RBAL;232781;ESBJERG SHPK;6;Small Medium Business (SMB);108245;30.01.2018;24.01.2022;SME_9C;30.01.2018;24.01.2022;OK
RBAL;1854999;AL-TEXTILE SHPK;6;Small Medium Business (SMB);129870;24.12.2020;21.12.2022;SME_9C;24.12.2020;21.12.2022;OK
RBBG;523942;VIVA TREIDING EOOD/ EOOD;3;Corporates;129371;07.12.2020;01.12.2021;CORP_9C;07.12.2020;01.12.2021;OK
RBBG;789198;ET SLAVYANA STATEVA ET;3;Corporates;98685;10.04.2017;10.12.2018;CORP_MIS;10.04.2017;10.12.2018;OK
RBBG;344750;NIKOLA JEYNOV-TONELLA ET ET;6;Small Medium Business (SMB);110366;08.05.2018;12.11.2021;SME_9C;08.05.2018;12.11.2021;OK
RBBG;151872;BODY COLOR OOD OOD;6;Small Medium Business (SMB);133370;09.07.2021;12.01.2022;SME_9C;09.07.2021;12.01.2022;OK
RBBG;670992;VAL GROUP EOOD/ EOOD;3;Corporates;121571;18.12.2019;06.04.2020;CORP_MIS;18.12.2019;06.04.2020;OK
RBBG;268226;TEHNOEKSPORT BG EOOD EOOD;6;Small Medium Business (SMB);88081;26.04.2016;30.08.2017;SME_MIS;26.04.2016;30.08.2017;OK
RBBG;95582;FULDA BULGARIA OOD/;3;Corporates;125691;25.06.2020;11.08.2021;CORP_MIS;25.06.2020;11.08.2021;OK
RBBG;94459;INOS-1  OOD;3;Corporates;122990;26.02.2020;26.10.2021;CORP_8B;26.02.2020;26.10.2021;OK
RBBG;314406;VINZAVOD AD/ AD;3;Corporates;102647;25.07.2017;27.10.2020;CORP_MIS;25.07.2017;27.10.2020;OK
RBBG;789325;DIGITEC OOD OOD;3;Corporates;103266;11.08.2017;29.04.2020;CORP_MIS;11.08.2017;29.04.2020;OK
RBBG;224140;VANIM OOD;6;Small Medium Business (SMB);94822;21.11.2016;05.04.2021;SME_MIS;21.11.2016;05.04.2021;OK
RBBG;1626950;MEDIMEKS M EOOD EOOD;6;Small Medium Business (SMB);116890;18.04.2019;07.07.2020;SME_MIS;18.04.2019;07.07.2020;OK
RBBG;807012;VIKTOR VEZHENOV TSERIGG;6;Small Medium Business (SMB);114691;17.12.2018;08.11.2019;SME_7C;17.12.2018;08.11.2019;OK
RBBG;1558794;TON BONBON OOD;6;Small Medium Business (SMB);131332;25.03.2021;12.12.2022;SME_9B;25.03.2021;12.12.2022;OK
RBBG;527688;LUBRICA OOD OOD;3;Corporates;126193;24.07.2020;07.04.2021;CORP_MIS;24.07.2020;07.04.2021;OK
RBBG;530916;KURILO - METAL AD AD;3;Corporates;96965;10.02.2017;15.06.2018;CORP_MIS;10.02.2017;15.06.2018;OK
RBBG;1172519;FIDUCIA 2012 EOOD EOOD;6;Small Medium Business (SMB);128290;29.10.2020;05.07.2021;SME_MIS;29.10.2020;05.07.2021;OK
RBBG;188521;MOST COMPUTERS OOD/ OOD;3;Corporates;103265;11.08.2017;29.04.2020;CORP_MIS;11.08.2017;29.04.2020;OK
RBBG;720303;BG KAPITAL GROUP OOD/ OOD;3;Corporates;121570;18.12.2019;06.04.2020;CORP_MIS;18.12.2019;06.04.2020;OK
RBBG;915949;G INTERNATIONAL FOOD GROUP EOOD EOO;6;Small Medium Business (SMB);103625;30.08.2017;29.05.2018;SME_MIS;30.08.2017;29.05.2018;OK
RBBG;873584;IMAK OOD OOD;6;Small Medium Business (SMB);112288;07.09.2018;24.02.2022;SME_9C;07.09.2018;24.02.2022;OK
RBBG;531690;et statev - stanimir nedyalkov;3;Corporates;98725;10.04.2017;10.12.2018;CORP_MIS;10.04.2017;10.12.2018;OK
RBBG;96861;MONOLITSTROY-CH.B OOD-SHEV OOD;6;Small Medium Business (SMB);126194;24.07.2020;16.04.2021;SME_MIS;24.07.2020;16.04.2021;OK
RBBG;530715;BALKAN HORN TRAVEL OOD OOD;6;Small Medium Business (SMB);110126;20.04.2018;05.04.2021;SME_MIS;20.04.2018;05.04.2021;OK
RBBG;162673;GLOBAL TREYDING OOD OOD;6;Small Medium Business (SMB);92302;07.09.2016;05.04.2021;SME_MIS;07.09.2016;05.04.2021;OK
RBBG;1339828;MONOLITSTROY 2012 EOOD;6;Small Medium Business (SMB);126195;24.07.2020;16.04.2021;SME_MIS;24.07.2020;16.04.2021;OK
RBBG;798618;ET AHMED BILYUKOV ET;3;Corporates;102646;25.07.2017;27.10.2020;CORP_MIS;25.07.2017;27.10.2020;OK
RBBG;188644;MERDJAN 7-PETROV-ANGELOVA OOD OOD;6;Small Medium Business (SMB);104165;27.09.2017;29.01.2018;SME_MIS;27.09.2017;29.01.2018;OK
RBBG;559434;AGRIVA PRIMA EOOD;3;Corporates;120190;14.10.2019;02.10.2020;CORP_MIS;14.10.2019;02.10.2020;OK
RBBG;157089;AGROPROMDEIN-KAVACITE EOOD/ EOOD;3;Corporates;102645;25.07.2017;27.10.2020;CORP_MIS;25.07.2017;27.10.2020;OK
RBBG;516929;BEST ELECTRONICS LTD/ EOOD;6;Small Medium Business (SMB);139432;07.06.2022;12.12.2022;SME_9C;07.06.2022;12.12.2022;OK
RBBG;913703;KOMFORT-2008 OOD OOD;6;Small Medium Business (SMB);85041;07.01.2016;09.01.2019;SME_MIS;07.01.2016;09.01.2019;OK
RBBG;873582;TEHMASH-BG OOD;6;Small Medium Business (SMB);112287;07.09.2018;24.02.2022;SME_9C;07.09.2018;24.02.2022;OK
RBBH;752145;TOOL PRECISION DOO SREBRENIK;6;Small Medium Business (SMB);100825;06.06.2017;13.12.2017;SME_MIS;06.06.2017;13.12.2017;OK
RBBH;431525;EMEDING DOO SARAJEVO;6;Small Medium Business (SMB);96145;30.12.2016;30.09.2020;SME_MIS;30.12.2016;30.09.2020;OK
RBBH;169209;KEDRAN DOO SREBRENIK;6;Small Medium Business (SMB);105485;13.11.2017;26.03.2019;SME_MIS;13.11.2017;26.03.2019;OK
RBBH;791353;AUTUS TELECOM DOO SARAJEVO;3;Corporates;108385;05.02.2018;08.02.2019;CORP_MIS;05.02.2018;08.02.2019;OK
RBBH;162122;SARAJEVSKI KISELJAK DD KISELJAK;3;Corporates;98428;31.03.2017;31.01.2019;CORP_MIS;31.03.2017;31.01.2019;OK
RBBH;127181;BOSNA S DOO SARAJEVO;3;Corporates;90183;27.06.2016;19.04.2017;CORP_8C;27.06.2016;19.04.2017;OK
RBBH;313181;WOLF KOMERC DOO SARAJEVO;6;Small Medium Business (SMB);130410;25.01.2021;26.04.2021;SME_MIS;25.01.2021;26.04.2021;OK
RBBH;226194;EXPRES SPED DOO CAPLJINA;6;Small Medium Business (SMB);126210;27.07.2020;01.12.2022;SME_9C;27.07.2020;01.12.2022;OK
RBBH;855784;TURANJ DOO KRESEVO;6;Small Medium Business (SMB);110925;14.06.2018;13.02.2019;SME_MIS;14.06.2018;13.02.2019;OK
RBBH;471636;DCS DOO SARAJEVO;6;Small Medium Business (SMB);136371;30.11.2021;29.06.2022;SME_5C;30.11.2021;29.06.2022;OK
RBBH;1317476;NEDIDA SALIHOVIC WHALEN;6;Small Medium Business (SMB);109825;02.04.2018;25.04.2019;SME_8A;02.04.2018;25.04.2019;OK
RBBH;162113;METALNI PROFILI DOO SARAJEVO;6;Small Medium Business (SMB);85243;19.01.2016;31.01.2017;SME_MIS;19.01.2016;31.01.2017;OK
RBBH;177984;FMI 2001 DOO CITLUK;6;Small Medium Business (SMB);110046;17.04.2018;29.10.2018;SME_7A;17.04.2018;29.10.2018;OK
RBBH;127581;DILAVER COMPANY DOO;3;Corporates;117590;27.05.2019;30.08.2019;CORP_MIS;27.05.2019;30.08.2019;OK
RBBH;128258;DIAMEDIC DOO SARAJEVO;3;Corporates;89281;31.05.2016;31.01.2018;CORP_6A;31.05.2016;31.01.2018;OK
RBBH;166346;BADEM DOO KISELJAK;6;Small Medium Business (SMB);103726;04.09.2017;27.08.2020;SME_MIS;04.09.2017;27.08.2020;OK
RBBH;596325;BADER DOO SAMAC;6;Small Medium Business (SMB);98965;18.04.2017;31.05.2017;SME_MIS;18.04.2017;31.05.2017;OK
RBBH;1062712;RZ KOMERC DOO BRCKO;6;Small Medium Business (SMB);106846;18.12.2017;29.06.2018;SME_MIS;18.12.2017;29.06.2018;OK
RBBH;805793;BRAZDA PRODUKT DOO SRBAC;6;Small Medium Business (SMB);114011;19.11.2018;26.03.2019;SME_MIS;19.11.2018;26.03.2019;OK
RBBH;668048;CITY BOUTIQUE HOTEL DOO SARAJEVO;3;Corporates;90184;27.06.2016;26.04.2017;CORP_MIS;27.06.2016;26.04.2017;OK
RBBH;883260;LUNA DOO SARAJEVO;6;Small Medium Business (SMB);110528;21.05.2018;29.01.2021;SME_MIS;21.05.2018;29.01.2021;OK
RBBH;553323;ALFA DOO MODRICA;3;Corporates;131090;10.03.2021;18.03.2022;CORP_9C;10.03.2021;18.03.2022;OK
RBBH;920050;SGI TECHNOLOGY DOO;6;Small Medium Business (SMB);132710;21.06.2021;12.09.2022;SME_9C;21.06.2021;12.09.2022;OK
RBBH;222662;PO NE DOO BRCKO;6;Small Medium Business (SMB);113531;29.10.2018;23.11.2018;SME_MIS;29.10.2018;23.11.2018;OK
RBBH;803508;STOLARIJA PODROMANIJA DOO SOKOLAC;6;Small Medium Business (SMB);86861;11.03.2016;31.01.2017;SME_MIS;11.03.2016;31.01.2017;OK
RBBH;149445;MERCATOR BH DOO SARAJEVO;3;Corporates;91301;02.08.2016;02.09.2021;CORP_8B;02.08.2016;02.09.2021;OK
RBBY;632989;PROFIL' I KOMPLEKTUYUSCHIE' OOO;6;Small Medium Business (SMB);94205;31.10.2016;07.02.2018;SME_MIS;31.10.2016;07.02.2018;OK
RBBY;509227;VMIG ODO;6;Small Medium Business (SMB);94201;31.10.2016;02.03.2017;SME_MIS;31.10.2016;02.03.2017;OK
RBBY;1428647;BELSPETSMONTAZH OOO;6;Small Medium Business (SMB);114970;29.12.2018;03.01.2022;SME_9C;29.12.2018;03.01.2022;OK
RBBY;320771;NTTS-BELEVROLYuKS OOO;6;Small Medium Business (SMB);96685;02.03.2017;10.07.2018;SME_MIS;02.03.2017;10.07.2018;OK
RBBY;1578887;VODOKANAL MINSKOGO RAIONA KDPUP;3;Corporates;137855;03.03.2022;03.10.2022;CORP_9C;03.03.2022;03.10.2022;OK
RBBY;204858;BELSPETSELEKTROMONTAZH ZAO;6;Small Medium Business (SMB);91102;27.07.2016;26.04.2017;SME_MIS;27.07.2016;26.04.2017;OK
RBBY;841951;'MAKROMART'CHP;6;Small Medium Business (SMB);107686;03.01.2018;08.02.2018;SME_MIS;03.01.2018;08.02.2018;OK
RBBY;324752;ALROS-GROUP SOOO;6;Small Medium Business (SMB);89681;10.06.2016;18.07.2017;SME_MIS;10.06.2016;18.07.2017;OK
