unit_code;cocunut;ctype_code;ctype_name;rating;default_flag;dqi
RBRO;1328523;6;Small Medium Business (SMB);SME_10;T;OK
Static;*DUMMY_FITCHINV_DDD_CORP*;3;Corporates;CORP_10;T;OK
RBBY;1496208;6;Small Medium Business (SMB);SME_10;T;OK
RBI;1456301;18;Specialised Lending Project (excl. Commodity);SLOT_6.5;T;OK
RBBH;536974;6;Small Medium Business (SMB);SME_10;T;OK
ALEASS;702355;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;267685;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;538974;39;Associations;CORP_10;T;OK
RBHU;76750;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;857158;6;Small Medium Business (SMB);SME_10;T;OK
RLBG;720066;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;307020;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;665775;18;Specialised Lending Project (excl. Commodity);SLOT_PF_6.5;T;OK
RBHU;110737;3;Corporates;CORP_10;T;OK
RBKO;153745;3;Corporates;CORP_10;T;OK
AVAL;320159;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;318453;6;Small Medium Business (SMB);SME_10;T;OK
RLBG;126315;3;Corporates;CORP_10;T;OK
RBRS;885640;6;Small Medium Business (SMB);SME_10;T;OK
AREALE;750650;36;Private Individual (Non-Retail);CORP_10;T;OK
TBSK;649014;6;Small Medium Business (SMB);SME_10;T;OK
RLRO;226691;3;Corporates;CORP_10;T;OK
TBSK;527783;3;Corporates;CORP_10;T;OK
RBRO;327385;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;629428;3;Corporates;CORP_10;T;OK
RBRO;172665;3;Corporates;CORP_10;T;OK
AVAL;268156;6;Small Medium Business (SMB);SME_10;T;OK
AREALE;702705;3;Corporates;CORP_10;T;OK
RBRO;664730;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;221486;6;Small Medium Business (SMB);SME_10;T;OK
RBRS;946435;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;127598;3;Corporates;CORP_10;T;OK
RBRO;124102;3;Corporates;CORP_10;T;OK
AVAL;219084;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;440817;6;Small Medium Business (SMB);SME_10;T;OK
RLAL;686399;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;182187;3;Corporates;CORP_10;T;OK
RBRO;303524;6;Small Medium Business (SMB);SME_10;T;OK
ALEASS;710525;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;99911;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;72697;3;Corporates;CORP_10;T;OK
RBRS;118922;3;Corporates;CORP_10;T;OK
RLBH;182305;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;812204;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;100974;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;508526;39;Associations;CORP_10;T;OK
RBRU;215629;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;165718;3;Corporates;CORP_10;T;OK
RBRU;160461;3;Corporates;CORP_10;T;OK
TBSK;299115;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;309788;3;Corporates;CORP_10;T;OK
RBBH;127204;3;Corporates;CORP_10;T;OK
AVAL;178411;3;Corporates;CORP_10;T;OK
RBHU;159049;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;333032;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;756513;6;Small Medium Business (SMB);SME_10;T;OK
RBSG;689999;3;Corporates;CORP_10;T;OK
RBBH;317908;3;Corporates;CORP_10;T;OK
RBRO;106627;6;Small Medium Business (SMB);SME_10;T;OK
RBI;535124;18;Specialised Lending Project (excl. Commodity);SLOT_RE_6.5;T;OK
RLBH;143612;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;673186;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;302486;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;606230;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;155922;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;689731;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;455557;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;1438176;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;346012;6;Small Medium Business (SMB);SME_10;T;OK
RLRU;124623;3;Corporates;CORP_10;T;OK
RFACTOR;742901;3;Corporates;CORP_10;T;OK
RBHU;125594;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;507908;3;Corporates;CORP_10;T;OK
RBRO;245678;6;Small Medium Business (SMB);SME_10;T;OK
RLRO;173119;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;464768;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;296314;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;526781;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;510132;3;Corporates;CORP_10;T;OK
RBHR;516067;18;Specialised Lending Project (excl. Commodity);SLOT_RE_6.5;T;OK
TBSK;20957;3;Corporates;CORP_10;T;OK
RBBG;529036;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;165959;3;Corporates;SME_10;T;OK
RBRU;103587;3;Corporates;CORP_10;T;OK
RLKO;122211;3;Corporates;CORP_10;T;OK
RBHU;191649;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;199967;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;508019;3;Corporates;CORP_10;T;OK
RBHU;228700;3;Corporates;CORP_10;T;OK
AREALE;715391;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;216803;3;Corporates;CORP_10;T;OK
RBCZ;1591852;3;Corporates;CORP_10;T;OK
RBHR;108675;3;Corporates;CORP_10;T;OK
RBRO;703236;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;108050;3;Corporates;CORP_10;T;OK
RLCZ;1569886;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;515075;3;Corporates;CORP_10;T;OK
RLCZ;791700;3;Corporates;CORP_10;T;OK
AVAL;331540;6;Small Medium Business (SMB);SME_10;T;OK
RLBG;226900;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;876403;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;139844;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;2020202;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;282811;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;195692;3;Corporates;CORP_10;T;OK
RBCZ;167348;3;Corporates;CORP_10;T;OK
RBCZ;245339;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;155565;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;646051;39;Associations;CORP_10;T;OK
AVAL;217826;3;Corporates;CORP_10;T;OK
RBBH;193770;3;Corporates;CORP_10;T;OK
RBHR;155923;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;137469;3;Corporates;CORP_10;T;OK
AVAL;176338;38;Leasing (Corporate/Stand-alone);CORP_10;T;OK
RBRO;237962;3;Corporates;CORP_10;T;OK
RBCZ;170919;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;751034;6;Small Medium Business (SMB);SME_10;T;OK
CASRS;142944;3;Corporates;CORP_10;T;OK
RLSI;451652;3;Corporates;CORP_10;T;OK
RLBH;312313;3;Corporates;CORP_10;T;OK
AVAL;1888180;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;1059314;6;Small Medium Business (SMB);SME_10;T;OK
RBBY;633280;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;176463;3;Corporates;CORP_10;T;OK
AVAL;194770;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;330266;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;128468;3;Corporates;CORP_10;T;OK
TBSK;165793;6;Small Medium Business (SMB);SME_10;T;OK
RLRO;163039;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;177965;6;Small Medium Business (SMB);SME_10;T;OK
RBRS;945036;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;170786;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;1983913;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;208265;3;Corporates;CORP_10;T;OK
RBHR;312445;3;Corporates;SME_10;T;OK
AVAL;177033;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;110770;3;Corporates;CORP_10;T;OK
RLRO;307866;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;293622;36;Private Individual (Non-Retail);CORP_10;T;OK
RBCZ;170134;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;130276;3;Corporates;CORP_10;T;OK
RBRU;280612;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;177449;6;Small Medium Business (SMB);SME_10;T;OK
RLRU;671149;3;Corporates;CORP_10;T;OK
TBSK;441159;6;Small Medium Business (SMB);SME_10;T;OK
AREALE;701850;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;1813185;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;111318;3;Corporates;CORP_10;T;OK
AVAL;196288;3;Corporates;CORP_10;T;OK
RBHR;131158;3;Corporates;CORP_10;T;OK
ALEASS;710451;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;167623;3;Corporates;CORP_10;T;OK
TBSK;551385;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;131166;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;220996;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;162393;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;246691;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;1432784;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;122758;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;72276;3;Corporates;CORP_10;T;OK
AREALE;715366;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;229737;3;Corporates;CORP_10;T;OK
RBAL;137026;6;Small Medium Business (SMB);SME_10;T;OK
CASRS;205514;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;954907;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;150926;6;Small Medium Business (SMB);SME_10;T;OK
AREALE;702535;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;1064606;6;Small Medium Business (SMB);SME_10;T;OK
RBBG;593155;6;Small Medium Business (SMB);SME_10;T;OK
RBBY;435656;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;331214;3;Corporates;CORP_10;T;OK
RBHU;1893140;3;Corporates;CORP_10;T;OK
ALEASS;701822;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;176138;3;Corporates;CORP_10;T;OK
RLCZ;129741;3;Corporates;CORP_10;T;OK
